postid,title,category,sharecount,published_date,claim,key_word
116421,Did Shane Patrick Boyle Die After Fundraising to Pay for Insulin?,Medical,14000,2017-11-27 17:25,A man named Shane Patrick Boyle died shortly after starting a GoFundMe fundraiser for insulin.,Shane Patrick Boyle
114478,Is Clothing Retailer Marshalls Still Paying Employees in Puerto Rico?,Viral Phenomena,13000,2017-11-07 15:22,Marshalls employees in Puerto Rico are still being paid despite the damage to stores there caused by Hurricane Maria.,Marshalls Puerto Rico
109203,Two Clinton Employees Arrested For Destroying Evidence As Uranium Probe Begins?,Fake News,13000,2017-11-01 12:11,Two of Hillary Clinton employees were arrested for destroying evidence related to a uranium probe.,Hillary uranium
118123,Kirk Douglas Death Hoax,Fake News,13000,2017-12-07 18:39,Actor Kirk Douglas passed away four days before his 101st birthday in December 2017.,Kirk Douglas passed away
118222,"Does the 2017 Tax Plan Eliminate Deduction for Losses from Wildfires, Other Natural Disasters?",Politics,13000,2017-12-08 13:16,The Tax Cuts and Jobs Act of 2017 calls for eliminating or severely curtailing the personal casualty deduction for losses from wildfires and other natural disasters.,Tax Cuts and Jobs Act 
125613,Did Trump’s Doctor Say the President Was ‘Too Sick to Talk to Mueller’?,Fake News,13000,2018-01-25 17:15,President Trump's physician wrote a note declaring that the chief executive is not well enough to speak with Robert Mueller.,Trump Robert Mueller
33850,Do Red Lights Outside Homes Indicate Anti-Gun Solidarity?,Media Matters,12000,2016-05-13 0:00,Activists are lighting their homes red to show solidarity for the anti-gun movement.,red light anti gun
109688,Did President Trump Impatiently Dump Fish Food in a Japanese Koi Pond?,Fauxtography,12000,2017-11-06 13:16,President Trump ignored instructions from Japan's Prime Minister Shinzo Abe and impatiently dumped fish food into a koi pond.,trump abe fish
28051,Are Cell Phone Numbers Being Given to Telemarketers?,Business,12000,2004-12-10 0:00,"Cell phone users must register their numbers with the national ""Do Not Call"" directory by a given deadline to prevent their cell phone numbers from being released to telemarketers.",do not call directory 
129829,Is Laura Phelps a Crisis Actor Who Lost a Child at Both Sandy Hook and Marjory Stoneman Douglas?,Fake News,12000,2018-02-21 13:27,Laura Phelps is a crisis actor who lost children during school shootings at Sandy Hook Elementary in 2012 and Marjory Stoneman Douglas High School in 2018.,Laura Phelps Sandy Hook 
