,1,2,3,4,5,6,7,8,9,10
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,burns,spacesuit,daith,relief,toxic,water,calories,migraine,envy,donors
2016,scientists,science,study,mystery,electricity,time,warming,tyson,footprint,waves
2017,people,warming,ice,earth,irma,bill,women,researchers,time,nye
2018,ocean,immigrants,cause,meat,school,prize,blood,water,chocolate,tally
