,1,2,3,4,5,6,7,8,9,10
1,"(trump, 26)","(president, 8)","(woman, 7)","(democrats, 6)","(obama, 6)","(law, 6)","(clinton, 5)","(people, 5)","(government, 5)","(fire, 5)"
2,"(trump, 17)","(school, 11)","(people, 10)","(shooter, 8)","(parkland, 7)","(state, 5)","(mass, 4)","(house, 4)","(gun, 4)","(tweet, 4)"
3,"(trump, 13)","(president, 9)","(school, 9)","(gun, 7)","(police, 5)","(states, 5)","(gonz, 4)","(donald, 4)","(march, 4)","(student, 4)"
4,"(child, 2)","(generations, 1)","(scare, 1)","(alabama, 1)","(islands, 1)","(harry, 1)","(months, 1)","(challenge, 1)","(survivor, 1)","(don, 1)"
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
