,1,2,3,4,5,6,7,8,9,10
2011,obama,president,barack,bill,michelle,wave,security,gas,house,thesis
2012,obama,romney,mitt,barack,flag,money,voting,santorum,columbia,people
2013,obama,barack,president,pigford,face,dog,prove,samira,hearings,michelle
2014,obama,michelle,president,center,home,election,scott,voters,lynch,order
2015,obama,speech,clinton,bernie,cruz,president,sanders,house,michelle,data
2016,clinton,trump,obama,sanders,bernie,donald,president,debate,kaine,john
2017,trump,president,history,house,obama,inauguration,month,twitter,order,camps
2018,state,trump,anthem,times,tickets,complain,president,address,words,joe
