,1,2,3,4,5,6,7,8,9,10
1,"(baby, 3)","(sign, 2)","(facebook, 2)","(petition, 2)","(wolves, 1)","(mother, 1)","(face, 1)","(youtube, 1)","(potato, 1)","(hummingbird, 1)"
2,"(obama, 3)","(fact, 1)","(dog, 1)","(santorum, 1)","(failure, 1)","(student, 1)","(permit, 1)","(attend, 1)","(columbia, 1)","(oil, 1)"
3,"(pit, 3)","(tornado, 2)","(bull, 2)","(card, 2)","(gift, 2)","(facebook, 2)","(request, 1)","(santorum, 1)","(glass, 1)","(euthanasia, 1)"
4,"(romney, 3)","(child, 3)","(mitt, 3)","(lines, 2)","(air, 2)","(obama, 2)","(flag, 2)","(appeal, 2)","(etymology, 2)","(facebook, 2)"
5,"(president, 2)","(letter, 2)","(obama, 2)","(horse, 2)","(etymology, 2)","(commencement, 1)","(teeth, 1)","(nancy, 1)","(flag, 1)","(charlie, 1)"
6,"(obama, 2)","(facebook, 2)","(migration, 1)","(traffic, 1)","(time, 1)","(laughing, 1)","(mass, 1)","(levitating, 1)","(kneel, 1)","(graduation, 1)"
7,"(virus, 2)","(jefferson, 2)","(cat, 2)","(child, 2)","(china, 2)","(home, 2)","(obamacare, 2)","(thomas, 2)","(dream, 1)","(ambulance, 1)"
8,"(obama, 2)","(romney, 2)","(bieber, 1)","(bills, 1)","(guy, 1)","(chick, 1)","(pyramids, 1)","(nancy, 1)","(dallas, 1)","(vietnam, 1)"
9,"(obama, 6)","(flag, 2)","(facebook, 2)","(virus, 2)","(america, 2)","(cola, 2)","(voting, 1)","(security, 1)","(chick, 1)","(banks, 1)"
10,"(obama, 4)","(romney, 3)","(president, 2)","(biden, 2)","(advertisement, 2)","(initiation, 2)","(vote, 2)","(home, 2)","(barack, 2)","(gang, 2)"
11,"(romney, 4)","(obama, 4)","(states, 2)","(car, 2)","(washington, 2)","(absentee, 2)","(mitt, 2)","(day, 2)","(ballots, 2)","(voting, 1)"
12,"(santa, 2)","(facebook, 2)","(hook, 2)","(view, 1)","(switzerland, 1)","(donations, 1)","(morris, 1)","(gun, 1)","(bill, 1)","(light, 1)"
