,1,2,3,4,5,6,7,8,9,10
2011,mayo,cinco,,,,,,,,
2012,titanic,room,texas,ship,president,statue,jackson,sos,states,liberty
2013,communist,seal,tyler,concrete,dispensers,rules,people,grandchildren,revolution,
2014,missouri,hancock,joke,grocery,railroad,president,declaration,york,curse,chariots
2015,history,president,truth,part,jack,pill,report,subtropolis,wrench,carriage
2016,hitler,scouts,slaves,times,slavery,lawn,symbols,jockeys,railroad,article
2017,war,president,deaths,women,lincoln,wind,camps,biplane,face,johnson
2018,klan,klux,nixon,order,proof,time,parades,disease,hire,king
