,1,2,3,4,5,6,7,8,9,10
2011,prices,gas,oil,traffic,laws,simpson,fines,gasoline,loans,ticket
2012,confederacy,fools,formation,bush,resign,gas,nra,,,
2013,jersey,ticket,salvation,operation,april,warming,frenzy,government,jacket,guillotines
2014,security,organization,gasoline,windows,quayle,land,school,lawn,president,harvard
2015,trump,president,ban,obama,flag,law,controversy,petition,date,plea
2016,trump,clinton,donald,obama,bill,house,president,state,people,muslims
2017,trump,president,tax,house,clinton,donald,women,people,obama,john
2018,trump,president,school,obama,parkland,gun,states,donald,house,state
