,1,2,3,4,5,6,7,8,9,10
1,"(trump, 56)","(president, 20)","(women, 11)","(inauguration, 11)","(obama, 10)","(clinton, 6)","(people, 6)","(ban, 6)","(house, 6)","(tweet, 5)"
2,"(trump, 36)","(president, 33)","(sign, 7)","(children, 7)","(election, 6)","(obama, 5)","(house, 5)","(order, 5)","(death, 4)","(entry, 4)"
3,"(trump, 12)","(president, 9)","(man, 6)","(crime, 5)","(people, 4)","(death, 3)","(part, 3)","(murder, 3)","(health, 3)","(women, 3)"
4,"(trump, 14)","(house, 8)","(airlines, 7)","(president, 7)","(easter, 5)","(death, 5)","(women, 5)","(people, 4)","(obama, 4)","(roll, 3)"
5,"(trump, 35)","(president, 21)","(man, 9)","(bill, 7)","(obama, 6)","(year, 6)","(woman, 6)","(clinton, 5)","(house, 5)","(people, 4)"
6,"(trump, 14)","(man, 9)","(president, 6)","(attack, 5)","(house, 5)","(people, 4)","(clinton, 4)","(woman, 4)","(magazine, 3)","(government, 3)"
7,"(trump, 10)","(president, 5)","(woman, 5)","(clinton, 4)","(police, 4)","(feds, 3)","(man, 2)","(drug, 2)","(hoax, 2)","(donald, 2)"
8,"(trump, 13)","(hurricane, 8)","(obama, 7)","(harvey, 6)","(texas, 6)","(charlottesville, 5)","(houston, 5)","(man, 5)","(war, 4)","(clinton, 4)"
9,"(hurricane, 20)","(irma, 15)","(harvey, 13)","(trump, 11)","(victims, 7)","(anthem, 7)","(cross, 6)","(donald, 4)","(storm, 4)","(florida, 4)"
10,"(las, 6)","(anthem, 6)","(mandalay, 5)","(bay, 5)","(president, 5)","(trump, 5)","(states, 5)","(vegas, 5)","(security, 4)","(government, 4)"
11,"(trump, 13)","(president, 7)","(tax, 7)","(shooter, 4)","(church, 4)","(woman, 4)","(plan, 3)","(food, 3)","(states, 3)","(marijuana, 3)"
12,"(trump, 8)","(police, 5)","(sign, 4)","(moore, 4)","(death, 4)","(tax, 4)","(jones, 3)","(president, 3)","(states, 3)","(bill, 3)"
