,1,2,3,4,5,6,7,8,9,10
2011,initiation,gang,scam,car,rape,attempt,phone,scams,cell,bump
2012,initiation,gang,bob,permit,nancy,petition,drug,lines,car,school
2013,gun,car,murder,grounds,simpson,wes,imani,act,robbery,booksellers
2014,police,media,wilson,isis,darren,drug,salt,threatens,charges,arson
2015,trafficking,gang,warning,muslims,day,maps,scam,record,baby,attack
2016,man,warning,police,officer,trafficking,device,walmart,alton,sterling,rape
2017,child,crime,trafficking,charges,women,part,drug,california,victims,woman
2018,shooter,part,people,parkland,mass,man,group,warrant,actors,police
