,1,2,3,4,5,6,7,8,9,10
2011,hiv,rumor,ketchup,star,origins,pepsi,cob,etymology,pumpernickel,fruit
2012,ban,melba,life,origins,peach,twinkies,toast,,,
2013,food,baby,pouches,contain,warning,soup,banana,bugs,origins,chips
2014,china,pringles,maker,fireball,shortage,cockroach,phosphate,tapioca,dissolve,restaurant
2015,kraft,sandwiches,macaroni,rat,cheese,melt,noodles,food,chicken,bananas
2016,products,maggots,burger,restaurants,study,popeyes,balance,cheez,popcorn,car
2017,poisoning,products,candy,bugs,recall,skull,cause,salmonella,pancake,lay
2018,pod,anchor,egg,pizza,fruits,burgers,controversy,challenge,recall,passengers
