,1,2,3,4,5,6,7,8,9,10
1,"(trump, 13)","(bill, 7)","(donald, 6)","(powerball, 6)","(obama, 5)","(clinton, 4)","(people, 4)","(hoax, 4)","(women, 4)","(meme, 3)"
2,"(trump, 16)","(bernie, 10)","(sanders, 9)","(man, 7)","(scam, 6)","(shows, 5)","(didn, 5)","(clinton, 4)","(cruz, 4)","(photograph, 4)"
3,"(trump, 24)","(sanders, 14)","(bernie, 14)","(clinton, 6)","(isn, 6)","(donald, 5)","(death, 4)","(photo, 4)","(didn, 4)","(car, 4)"
4,"(bathroom, 8)","(clinton, 7)","(woman, 7)","(transgender, 6)","(trump, 6)","(prince, 5)","(sanders, 4)","(target, 4)","(man, 4)","(law, 4)"
5,"(trump, 17)","(sanders, 11)","(clinton, 9)","(obama, 7)","(bernie, 7)","(death, 6)","(photograph, 6)","(woman, 6)","(donald, 5)","(image, 4)"
6,"(trump, 12)","(clinton, 11)","(death, 6)","(muslims, 5)","(orlando, 4)","(obama, 4)","(california, 4)","(president, 4)","(parents, 3)","(hoax, 3)"
7,"(trump, 24)","(clinton, 13)","(obama, 10)","(pokemon, 7)","(president, 7)","(death, 5)","(lives, 5)","(speech, 5)","(police, 5)","(woman, 5)"
8,"(trump, 28)","(clinton, 19)","(school, 7)","(donald, 6)","(media, 5)","(people, 5)","(obama, 5)","(bans, 5)","(flag, 5)","(mon, 4)"
9,"(clinton, 33)","(trump, 23)","(police, 10)","(debate, 7)","(woman, 7)","(obama, 6)","(man, 6)","(president, 6)","(donald, 5)","(people, 5)"
10,"(clinton, 50)","(trump, 33)","(bill, 8)","(wikileaks, 7)","(people, 6)","(president, 6)","(pence, 6)","(man, 5)","(foundation, 5)","(year, 5)"
11,"(trump, 56)","(clinton, 28)","(election, 10)","(protesters, 7)","(president, 7)","(woman, 6)","(pipeline, 5)","(bill, 5)","(obama, 5)","(day, 5)"
12,"(trump, 36)","(inauguration, 7)","(christmas, 6)","(muslim, 6)","(man, 6)","(john, 5)","(election, 4)","(bill, 4)","(child, 4)","(state, 4)"
