,1,2,3,4,5,6,7,8,9,10
1,"(scam, 5)","(eggs, 2)","(chip, 2)","(women, 2)","(accident, 2)","(jackson, 2)","(facebook, 2)","(obama, 2)","(shot, 2)","(order, 1)"
2,"(facebook, 3)","(johnson, 2)","(names, 1)","(griffin, 1)","(cnn, 1)","(invitation, 1)","(pockets, 1)","(person, 1)","(ringer, 1)","(shrimp, 1)"
3,"(dog, 2)","(man, 2)","(skinner, 2)","(beaver, 2)","(hoax, 2)","(bill, 2)","(airlines, 2)","(campaign, 2)","(tips, 2)","(malaysia, 2)"
4,"(malaysia, 3)","(show, 3)","(ball, 2)","(pink, 2)","(bill, 2)","(bieber, 2)","(justin, 2)","(volkswagen, 2)","(death, 2)","(etymology, 2)"
5,"(bill, 3)","(rainbow, 2)","(obama, 2)","(palin, 2)","(monster, 2)","(spider, 2)","(people, 2)","(death, 2)","(wind, 1)","(wedges, 1)"
6,"(bush, 3)","(president, 2)","(statue, 2)","(war, 2)","(phone, 2)","(gas, 2)","(murder, 2)","(george, 2)","(water, 2)","(world, 2)"
7,"(obama, 6)","(moon, 3)","(state, 3)","(mother, 2)","(death, 2)","(bill, 2)","(car, 2)","(declaration, 2)","(flight, 2)","(airlines, 2)"
8,"(death, 4)","(bucket, 3)","(challenge, 3)","(ice, 3)","(scam, 2)","(purge, 2)","(hoax, 2)","(phone, 2)","(williams, 2)","(cell, 2)"
9,"(isis, 4)","(michelle, 3)","(terrorist, 3)","(obama, 3)","(phone, 3)","(death, 3)","(photo, 3)","(center, 2)","(hand, 2)","(prayer, 2)"
10,"(ebola, 12)","(man, 4)","(card, 3)","(change, 3)","(house, 3)","(bans, 3)","(dog, 2)","(president, 2)","(muslims, 2)","(lie, 2)"
11,"(obama, 7)","(warning, 5)","(death, 4)","(ebola, 4)","(schools, 4)","(dog, 3)","(darren, 3)","(meat, 3)","(ferguson, 3)","(tax, 3)"
12,"(life, 4)","(darren, 3)","(president, 3)","(facebook, 3)","(police, 3)","(death, 3)","(time, 2)","(media, 2)","(age, 2)","(walmart, 2)"
