,1,2,3,4,5,6,7,8,9,10
1,"(gun, 4)","(child, 3)","(scam, 2)","(obama, 2)","(law, 2)","(media, 1)","(tale, 1)","(expressionless, 1)","(brady, 1)","(theater, 1)"
2,"(food, 2)","(house, 2)","(deaths, 2)","(dream, 1)","(baseball, 1)","(action, 1)","(act, 1)","(chicken, 1)","(dick, 1)","(christmas, 1)"
3,"(gas, 2)","(pope, 2)","(walter, 1)","(marvin, 1)","(imani, 1)","(charlie, 1)","(receives, 1)","(april, 1)","(face, 1)","(gaye, 1)"
4,"(petition, 17)","(prayer, 15)","(request, 13)","(child, 8)","(coupon, 6)","(day, 5)","(hoax, 5)","(appeal, 5)","(boston, 5)","(christmas, 4)"
5,"(baby, 3)","(car, 2)","(origins, 2)","(prize, 2)","(suicide, 2)","(lynch, 1)","(eisenberg, 1)","(time, 1)","(nancy, 1)","(truck, 1)"
6,"(hoax, 3)","(death, 3)","(tax, 2)","(bill, 2)","(son, 2)","(clothes, 2)","(rumor, 2)","(children, 2)","(order, 1)","(mother, 1)"
7,"(child, 3)","(martin, 3)","(dog, 2)","(zimmerman, 2)","(paula, 2)","(deen, 2)","(obama, 2)","(trayvon, 2)","(music, 2)","(george, 2)"
8,"(shark, 2)","(job, 2)","(rescues, 1)","(arizona, 1)","(hitchhikers, 1)","(sodas, 1)","(dog, 1)","(charlie, 1)","(rules, 1)","(identity, 1)"
9,"(president, 3)","(obama, 3)","(war, 3)","(letter, 2)","(accident, 2)","(veterans, 2)","(barack, 2)","(simpson, 1)","(bugs, 1)","(phil, 1)"
10,"(virus, 45)","(obama, 3)","(shutdown, 3)","(sober, 3)","(klez, 3)","(sex, 3)","(facebook, 3)","(government, 3)","(dog, 2)","(exe, 2)"
11,"(president, 2)","(dress, 2)","(year, 2)","(baby, 2)","(horse, 2)","(school, 2)","(day, 2)","(game, 2)","(time, 1)","(goodbye, 1)"
12,"(christmas, 7)","(man, 2)","(letter, 2)","(tree, 2)","(merry, 2)","(santa, 2)","(lights, 2)","(michael, 2)","(facebook, 2)","(bush, 2)"
