,1,2,3,4,5,6,7,8,9,10
2011,cure,cancer,warning,cinnamon,janda,dew,disease,flu,scrubber,goyal
2012,additives,patients,soup,guards,disease,companies,zicam,bpa,lobby,alzheimer
2013,burns,cancer,self,egg,protects,mother,anthrax,waxing,lyle,ailments
2014,ebola,cancer,obamacare,vaccine,babies,warning,hospital,medicare,aids,cdc
2015,measles,warning,cancer,light,johnson,lice,deaths,zero,day,burns
2016,cancer,baby,vaccine,disease,doctor,cells,doctors,benefits,hours,men
2017,cancer,people,meat,children,cigarettes,man,breasts,cure,states,antibiotics
2018,flu,drug,cancer,shot,cats,release,contain,shots,seeds,sodas
