,1,2,3,4,5,6,7,8,9,10
2011,,,,,,,,,,
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,child,changes,initiative,raccoon,error,ignition,footballs,mall,matter,controversy
2016,promotion,controversy,boy,video,wine,wind,playing,cps,alabama,clears
2017,hurricane,cross,food,irma,trump,man,harvey,victims,woman,children
2018,trump,people,challenge,school,student,gun,woman,pods,flakes,gorilla
