,1,2,3,4,5,6,7,8,9,10
1,"(letter, 3)","(traffic, 2)","(pay, 2)","(laws, 1)","(meal, 1)","(accidents, 1)","(cards, 1)","(fines, 1)","(restock, 1)","(tablecloth, 1)"
2,"(bill, 2)","(man, 2)","(senator, 1)","(error, 1)","(coca, 1)","(airport, 1)","(garage, 1)","(gun, 1)","(homes, 1)","(herman, 1)"
3,"(car, 6)","(oil, 3)","(prices, 3)","(gas, 3)","(honey, 2)","(george, 2)","(washington, 2)","(jews, 2)","(death, 2)","(japan, 2)"
4,"(car, 6)","(gas, 3)","(kkk, 3)","(president, 2)","(letter, 2)","(rumors, 2)","(prayer, 2)","(control, 2)","(obama, 2)","(accident, 2)"
5,"(coca, 4)","(origin, 4)","(bin, 4)","(cola, 4)","(tax, 3)","(bill, 3)","(pepsi, 3)","(death, 3)","(baby, 2)","(strike, 2)"
6,"(origin, 6)","(exam, 6)","(name, 5)","(coca, 3)","(college, 3)","(answer, 3)","(death, 3)","(cola, 3)","(professor, 2)","(book, 2)"
7,"(initiation, 9)","(gang, 9)","(scam, 8)","(car, 6)","(rape, 5)","(phone, 4)","(cell, 4)","(attempt, 3)","(obama, 3)","(scams, 3)"
8,"(dog, 5)","(cat, 5)","(book, 3)","(pet, 3)","(foods, 2)","(shark, 2)","(rabbit, 2)","(puppies, 2)","(pets, 2)","(rescue, 2)"
9,"(facebook, 3)","(button, 1)","(hackett, 1)","(security, 1)","(laus, 1)","(banks, 1)","(mother, 1)","(monument, 1)","(lobsters, 1)","(gin, 1)"
10,"(shops, 1)","(ban, 1)","(superstitions, 1)","(macbooks, 1)","(cyclops, 1)","(cob, 1)","(cat, 1)","(budget, 1)","(cooler, 1)","(man, 1)"
11,"(rooney, 5)","(prayer, 2)","(sowell, 2)","(thomas, 2)","(gibson, 1)","(ignition, 1)","(defense, 1)","(airport, 1)","(disease, 1)","(request, 1)"
12,"(scam, 3)","(card, 2)","(violation, 1)","(physics, 1)","(facebook, 1)","(mother, 1)","(teachers, 1)","(formation, 1)","(mistranslation, 1)","(teams, 1)"
