,1,2,3,4,5,6,7,8,9,10
2011,origin,name,tax,bill,card,credit,pepsi,kkk,cabbage,letter
2012,china,jersey,tab,stethoscope,martin,coca,monsanto,cash,companies,cap
2013,rumor,clothes,act,coca,gordon,monsanto,credit,flag,shampoo,potato
2014,walmart,drink,wilson,sell,komen,darren,toys,sue,wine,thanksgiving
2015,food,hello,flags,store,cash,target,hardware,tiger,discount,hair
2016,target,policy,transgender,matter,hour,customer,lives,apple,bathroom,rock
2017,companies,children,receipt,people,adult,burger,display,meet,action,retailers
2018,amazon,employees,restaurants,closing,cards,products,feces,arches,dog,request
